source_text,target_text
formax three cuba stand small minor meat  corrective actions r and s,formax three cuba stand small minor meat  corrective actions r and s
formax physician  three formax relax street  small minor meat  corrective actions r and s,formax position three formax rework chute small minor meat corrective actions r and s
about one but major meat inside belt,metal detector belt one large major meat inside belt
going to blender  one small minor meat on screw,auger to blender one small minor meat on screw
there one large major meat inside runners and cooks,metal detector one large major meat inside runners and cogs
formax four  general  small minor mate  corrective actions r and s,formax four general small minor meat corrective actions r and s
formax two  catch tray  small minor meat  corrective actions  r and s,formax two catch tray small minor meat corrective actions r and s
i frigo freezer three  small minor meat on floor corrective actions  r and s,frigo freezer three small minor meat on floor corrective actions  r and s
paraphernalia areas test kitchen general small minus scum  are and s o,paraphernalia areas test kitchen general small minor scum r and s
batching tools  small major meat on tools  corrective actions  r and s,batching tools small major meat on tools corrective action r and s
paraphernalia oil areas  test kitchen general small minus scum  corrective actions r and s,paraphernalia areas test kitchen general small minor scum corrective action r and s
blender  two discharge small minor meat inside throat  corrective actions r and s,blender two discharge small minor meat inside throat corrective actions r and s
formax position for conveyor belt  small minor meat  corrective actions r and s,formax possision 4 convayor belt small minor meat corrective actions r and s
formax position for conveyor belt  small minor meat  corrective actions r and s,formax position four conveyor belt small minor meat corrective action r and s
formax small minor meat  on belt,incline convayor to formax small minor meat on belt
formax three cuba stands small minor meat  corrective actions r and s,formax 3 cuba stand small minor meat corrective actions r and s
combo bin hoist one large major meat on framework,combo bin hoist one large major meat on framework
blender  two small minor meat on feed  screw,auger to blender two small minor meat on feed screw
i frigo one small minor meat  it 's corrective actions r and s,frigo one small minor meat on the hoods corrective actions r and s
formax position for a belt  small minor meat  corrective actions r and s,formax position four convayor belt small minor meat corrective actions r and s
primary grinder two ocasion general  small minor meat inside happe,primary grinder two location general small minor meat inside hopper
next two general minor meat corrective actions on it,formax two general small minor meat corrective actions r and s
conveyor blenders  two  small minor meat,convayor blanders two small minor meat
blender  one location feed  screw small  minor meat on framework,grinder one location fid screw small minor meat on framework
overhead conveyor from palletising  i large major dust particles on rollers  corrective actions  r and s,overhead convayor from palletizing large major dust particles on rollers corrective actions r and s
mixer grinder location  general small minor meat on hood,auger to mixer grinder location general small minor meat on hood
incline conveyor location that general small minor meat on framework,frozen block incline convayor location general small minor meat on framework
combo bin host number two small minor meat on framework,combo bin hoist number two small minor meat on framework
figure skandia one small minor meat on hood  corrective actions r and s,fregoscendia one small minor meat on hood corrective actions r and s
blender  one location  sample port  small minor meat on framework,blender one location sample ports small minor meat on framework
i 'll go to blender one  daniel small  minor meat on framework,overheads to blender one location general small minor meat on framework
blender  two locations  sample port parts small minor meat,blender two location sample port parts small minor meat
formax position three rework street  small man minor meat  corrective actions r and s,formax position three rework chute small minor meat corrective action r and s
formax three general  small minor meat  corrective actions r and s,fomac three gemeral small minor meat corrective actions r and s
rework  location framework  small minor meat,bin hoist rework location framework small minor meat
conveyor between blender  one small minor myths and runners,conveyor between blender one small minor meat on runners
pattie stacker one  blue bands pack off belt  small minor meat  traction action  are and s,paddy stucker one blue bands packoff belt small minor meat corrective action r and s
formax location  general  small minor meat on belt,incline convayor to formax location general small minor meat on belt
pack off  offline metal detector  small minor meat  corrective actions r and s,packoff offline metal detector small minor meat corrective actions r and s
one  small minor meat and feed school,small minor meat in feed screw
conveyor to formax general  location belt small minor meat,incline convayor to formax general location belts small minor meat
pack off  spare stackers storage rack  small minor meat  corrective actions r and s,packoff spare stacker storage rack small minor meat corrective action r and s
formax three cuba stand small minor meat  corrective actions r and s,formax three cuba stand small minor meat corrective action r and s
sanitation aprons  small minor meat on aprons  corrective actions r and s,sanitation apron small minor meat on aprons corrective actions r and s
formax position three box  acceptable,formax position three tool box a c accepted
mixer grinder two feed screw facing  i large major meat along screw r and s,mixer grinder two fid screw facing large major meat along screw r and s
auger to blender  two small minor meat on screw,auger to blender two small minor meat on screw
formax two  catch tray  small minor meat  corrective actions r and s,formax two catch tray small minor meat corrective action r and s
metal detector on line one conveyor belt under stackers  small major meat on the motor cover corrective actions  r and s,paddy metal detector on line one conveyor belt under stacker small major meat under motor cover corrective actions  r and s
pattie stacker one  small minor meat  late bands pack off belt  corrective action and s,packoff padi stacker one small minor meat blue band packoff belt corrective actions r and s
